circuit_depth,num_gates,num_qubits,entanglement,circuit_type,noise_level,gate_density,two_qubit_ratio,strategy,none_accuracy,zne_accuracy,mem_accuracy,cdr_accuracy,best_accuracy
2,3,6,swap,random,light,0.25,0.3333333333333333,mem,0.8257223509048491,0.9257223509048491,0.9357223509048491,0.8557223509048492,0.9357223509048491
5,8,4,cz,random,medium,0.4,0.375,zne,0.4690823006435403,0.5690823006435403,0.5590823006435403,0.5290823006435403,0.5690823006435403
3,7,5,cx,random,heavy,0.4666666666666667,0.14285714285714285,zne,0.32223758892591425,0.42223758892591423,0.42223758892591423,0.3522375889259143,0.42223758892591423
4,6,5,swap,random,heavy,0.3,0.8333333333333334,zne,0.7567746932053819,0.8567746932053819,0.8567746932053819,0.786774693205382,0.8567746932053819
3,6,7,cz,random,heavy,0.2857142857142857,0.0,mem,0.5763627301761242,0.6763627301761241,0.6963627301761242,0.6063627301761242,0.6963627301761242
5,10,6,cz,random,heavy,0.3333333333333333,0.7,mem,0.6905306477201159,0.7905306477201158,0.8005306477201158,0.7205306477201159,0.8005306477201158
2,2,4,cx,random,light,0.25,0.5,zne,0.9898048110447342,1.0898048110447343,0.95,0.92,1.0898048110447343
5,10,6,cz,random,light,0.3333333333333333,0.4,mem,0.8235540726453002,0.9235540726453002,0.9335540726453002,0.8535540726453003,0.9335540726453002
2,3,6,cx,random,light,0.25,0.3333333333333333,zne,0.9777914412070927,1.0777914412070928,0.95,0.92,1.0777914412070928
5,10,7,cx,random,medium,0.2857142857142857,0.5,mem,0.7559736707837306,0.8559736707837305,0.8759736707837306,0.8219736707837306,0.8759736707837306
6,9,6,cx,random,medium,0.25,0.5555555555555556,mem,0.7559255605057689,0.8559255605057688,0.8659255605057689,0.7859255605057689,0.8659255605057689
2,3,6,swap,random,medium,0.25,0.6666666666666666,zne,0.9643030824683906,1.0643030824683906,0.95,0.92,1.0643030824683906
4,8,7,swap,random,medium,0.2857142857142857,0.5,mem,0.7783152605223072,0.8783152605223071,0.8983152605223071,0.8533152605223071,0.8983152605223071
3,5,2,swap,random,medium,0.8333333333333334,0.0,none,0.7692391277057489,0.8692391277057488,0.8392391277057489,0.7992391277057489,0.7692391277057489
3,5,4,cx,random,medium,0.4166666666666667,0.0,zne,0.9824597477192675,1.0824597477192675,0.95,0.92,1.0824597477192675
9,13,5,cx,random,light,0.28888888888888886,0.15384615384615385,zne,0.6183442519640592,0.7183442519640592,0.7183442519640592,0.6483442519640592,0.7183442519640592
5,11,7,swap,random,medium,0.3142857142857143,0.5454545454545454,mem,0.6363474746284534,0.7363474746284534,0.7563474746284534,0.6772565655375443,0.7563474746284534
8,9,2,cx,random,light,0.5625,0.3333333333333333,zne,0.3,0.4,0.37,0.35666666666666663,0.4
4,9,8,swap,random,heavy,0.28125,0.3333333333333333,mem,0.7303394720299865,0.8303394720299865,0.8603394720299865,0.7736728053633198,0.8603394720299865
3,4,6,cz,random,heavy,0.2222222222222222,0.25,mem,0.7926360450510975,0.8926360450510975,0.9026360450510975,0.8226360450510976,0.9026360450510975
7,10,6,swap,random,light,0.23809523809523808,0.4,mem,0.7932018108206484,0.8932018108206484,0.9032018108206484,0.8232018108206485,0.9032018108206484
2,2,6,cx,random,heavy,0.16666666666666666,0.5,zne,0.9541285546136211,1.0541285546136212,0.95,0.92,1.0541285546136212
4,6,5,cz,random,medium,0.3,0.3333333333333333,zne,0.5632187361556166,0.6632187361556166,0.6632187361556166,0.5932187361556166,0.6632187361556166
2,3,6,swap,random,medium,0.25,0.3333333333333333,mem,0.8145979157205481,0.914597915720548,0.9245979157205481,0.8445979157205481,0.9245979157205481
5,6,5,cx,random,medium,0.24,0.6666666666666666,zne,0.939609445970295,1.0396094459702951,0.95,0.92,1.0396094459702951
6,10,8,swap,random,light,0.20833333333333334,0.5,mem,0.8432776283162348,0.9432776283162347,0.95,0.8852776283162348,0.95
2,2,5,cz,random,light,0.2,0.0,zne,1.0000000000288538,1.100000000028854,0.95,0.92,1.100000000028854
3,6,6,cz,random,light,0.3333333333333333,0.3333333333333333,zne,0.9728497200229953,1.0728497200229954,0.95,0.92,1.0728497200229954
6,10,6,swap,random,light,0.2777777777777778,0.5,mem,0.8397879545666427,0.9397879545666427,0.9497879545666427,0.8817879545666427,0.9497879545666427
4,4,2,cx,random,light,0.5,0.75,none,0.974025471261666,1.0740254712616661,0.95,0.92,0.974025471261666
4,6,5,cz,random,light,0.3,0.6666666666666666,zne,0.9545445760638748,1.0545445760638748,0.95,0.92,1.0545445760638748
3,4,5,swap,random,light,0.26666666666666666,0.25,zne,0.9863155726238292,1.0863155726238292,0.95,0.92,1.0863155726238292
2,4,8,cz,random,medium,0.25,0.25,mem,0.85031855623759,0.95031855623759,0.95,0.91031855623759,0.95
5,9,5,swap,random,medium,0.36,0.2222222222222222,zne,0.5521364962046856,0.6521364962046856,0.6521364962046856,0.5821364962046857,0.6521364962046856
7,8,3,swap,random,heavy,0.38095238095238093,0.375,zne,0.6809896954306831,0.7809896954306831,0.7609896954306831,0.7109896954306831,0.7809896954306831
4,4,5,swap,random,medium,0.2,0.75,zne,0.942094912023821,1.042094912023821,0.95,0.92,1.042094912023821
7,10,5,swap,random,heavy,0.2857142857142857,0.7,zne,0.5313660403377901,0.6313660403377901,0.6313660403377901,0.5973660403377901,0.6313660403377901
2,2,2,cz,random,light,0.5,0.0,none,1.0000000000721347,1.1000000000721348,0.95,0.92,1.0000000000721347
5,13,6,cx,random,light,0.43333333333333335,0.5384615384615384,mem,0.7573404931755119,0.8573404931755119,0.8673404931755119,0.8058020316370503,0.8673404931755119
4,6,4,cz,random,heavy,0.375,0.3333333333333333,zne,0.7966326345015282,0.8966326345015282,0.8866326345015282,0.8266326345015282,0.8966326345015282
4,8,6,cz,random,heavy,0.3333333333333333,0.5,mem,0.7901124715624466,0.8901124715624465,0.9001124715624466,0.8201124715624466,0.9001124715624466
5,5,2,swap,random,heavy,0.5,0.6,zne,0.3792232590025453,0.47922325900254525,0.4492232590025453,0.4092232590025453,0.47922325900254525
7,9,4,cx,random,medium,0.32142857142857145,0.7777777777777778,zne,0.8088057511559367,0.9088057511559366,0.8988057511559366,0.8788057511559366,0.9088057511559366
3,4,7,swap,random,medium,0.19047619047619047,0.25,zne,0.9574123541892061,1.0574123541892062,0.95,0.92,1.0574123541892062
5,6,6,swap,random,light,0.2,0.6666666666666666,zne,0.9545529139918829,1.054552913991883,0.95,0.92,1.054552913991883
8,8,4,swap,random,heavy,0.25,0.375,zne,0.7927947149920719,0.8927947149920719,0.8827947149920718,0.8527947149920718,0.8927947149920719
2,3,6,cx,random,heavy,0.25,0.3333333333333333,zne,0.9468771680632793,1.0468771680632794,0.95,0.92,1.0468771680632794
5,7,3,swap,random,light,0.4666666666666667,0.2857142857142857,zne,0.31440262202654135,0.4144026220265413,0.39440262202654136,0.34440262202654137,0.4144026220265413
3,8,8,cz,random,heavy,0.3333333333333333,0.375,mem,0.7736125894349277,0.8736125894349277,0.9036125894349277,0.8036125894349277,0.9036125894349277
3,4,4,swap,random,heavy,0.3333333333333333,0.5,zne,0.8321147840016545,0.9321147840016545,0.9221147840016545,0.8921147840016546,0.9321147840016545
4,5,4,swap,random,light,0.3125,0.6,zne,0.7232345046906279,0.8232345046906279,0.8132345046906279,0.7532345046906279,0.8232345046906279
3,5,7,cz,random,medium,0.23809523809523808,0.6,zne,0.9475871431220203,1.0475871431220203,0.95,0.92,1.0475871431220203
8,10,4,cz,random,heavy,0.3125,0.6,zne,0.3,0.4,0.39,0.34199999999999997,0.4
6,7,6,swap,random,heavy,0.19444444444444445,0.42857142857142855,mem,0.8357680436568706,0.9357680436568706,0.9457680436568706,0.8657680436568707,0.9457680436568706
4,9,8,swap,random,heavy,0.28125,0.4444444444444444,mem,0.7422500347316999,0.8422500347316999,0.8722500347316999,0.7855833680650333,0.8722500347316999
5,5,2,cz,random,light,0.5,0.4,none,0.701048996248828,0.801048996248828,0.7710489962488281,0.779048996248828,0.701048996248828
2,3,4,cx,random,heavy,0.375,0.0,zne,0.7355394808071282,0.8355394808071281,0.8255394808071281,0.7655394808071282,0.8355394808071281
4,4,8,cx,random,heavy,0.125,0.75,zne,0.9088257865622014,1.0088257865622015,0.95,0.92,1.0088257865622015
8,8,2,swap,random,light,0.5,0.625,zne,0.878735812128083,0.978735812128083,0.9487358121280831,0.9087358121280831,0.978735812128083
3,5,3,cx,random,heavy,0.5555555555555556,0.2,zne,0.5859648739989547,0.6859648739989547,0.6659648739989547,0.6159648739989547,0.6859648739989547
4,4,3,cx,random,medium,0.3333333333333333,0.75,none,0.8761430733393955,0.9761430733393954,0.95,0.92,0.8761430733393955
3,3,2,cx,random,medium,0.5,0.0,none,0.6701220488977789,0.7701220488977789,0.7401220488977789,0.700122048897779,0.6701220488977789
6,7,2,swap,random,medium,0.5833333333333334,0.42857142857142855,zne,0.3,0.4,0.37,0.34714285714285714,0.4
4,8,8,swap,random,light,0.25,0.375,mem,0.8552219379268913,0.9552219379268913,0.95,0.9002219379268913,0.95
4,7,6,cz,random,heavy,0.2916666666666667,0.5714285714285714,mem,0.7197596300956615,0.8197596300956614,0.8297596300956614,0.7669024872385186,0.8297596300956614
5,12,7,cz,random,heavy,0.34285714285714286,0.25,mem,0.8263527980125595,0.9263527980125594,0.9463527980125594,0.8663527980125595,0.9463527980125594
10,12,3,swap,random,heavy,0.4,0.5833333333333334,zne,0.6081340069375223,0.7081340069375223,0.6881340069375222,0.6381340069375223,0.7081340069375223
10,10,2,cz,random,heavy,0.5,0.7,zne,0.3,0.4,0.37,0.34199999999999997,0.4
1,1,4,swap,random,light,0.25,0.0,zne,1.0000000000360674,1.1000000000360675,0.95,0.92,1.1000000000360675
6,6,2,swap,random,light,0.5,0.3333333333333333,zne,0.4642957048929339,0.5642957048929339,0.534295704892934,0.49429570489293395,0.5642957048929339
2,3,7,cz,random,light,0.21428571428571427,0.0,zne,1.00000000002061,1.10000000002061,0.95,0.92,1.10000000002061
4,6,3,cz,random,medium,0.5,0.16666666666666666,zne,0.33042011029991347,0.43042011029991345,0.4104201102999135,0.3604201102999135,0.43042011029991345
8,12,7,swap,random,medium,0.21428571428571427,0.3333333333333333,mem,0.7922033352174229,0.8922033352174229,0.9122033352174229,0.832203335217423,0.9122033352174229
3,3,2,swap,random,light,0.5,0.6666666666666666,none,0.9296031344883029,1.029603134488303,0.95,0.92,0.9296031344883029
4,8,7,cz,random,light,0.2857142857142857,0.25,zne,0.9831953663475442,1.0831953663475442,0.95,0.92,1.0831953663475442
4,5,7,cx,random,heavy,0.17857142857142858,0.2,mem,0.7001158534835134,0.8001158534835133,0.8201158534835133,0.7301158534835134,0.8201158534835133
2,4,5,cz,random,heavy,0.4,0.5,zne,0.8590449041572642,0.9590449041572642,0.95,0.9190449041572641,0.9590449041572642
7,12,7,cz,random,heavy,0.24489795918367346,0.5,mem,0.6715582214222582,0.7715582214222582,0.7915582214222582,0.7015582214222582,0.7915582214222582
5,10,6,swap,random,light,0.3333333333333333,0.4,mem,0.7603784863128318,0.8603784863128318,0.8703784863128318,0.8143784863128318,0.8703784863128318
6,6,3,swap,random,light,0.3333333333333333,0.8333333333333334,zne,0.9055974929750144,1.0055974929750144,0.95,0.92,1.0055974929750144
3,7,7,swap,random,light,0.3333333333333333,0.2857142857142857,mem,0.7915990382701121,0.8915990382701121,0.9115990382701121,0.8215990382701122,0.9115990382701121
3,6,6,swap,random,light,0.3333333333333333,0.16666666666666666,mem,0.823979868976581,0.923979868976581,0.933979868976581,0.8539798689765811,0.933979868976581
2,2,6,swap,random,light,0.16666666666666666,0.0,zne,0.9981376969278866,1.0981376969278867,0.95,0.92,1.0981376969278867
8,8,2,cx,random,heavy,0.5,0.375,zne,0.3379871144840232,0.43798711448402317,0.4079871144840232,0.3829871144840232,0.43798711448402317
4,7,6,cz,random,light,0.2916666666666667,0.5714285714285714,mem,0.8277148732984476,0.9277148732984476,0.9377148732984476,0.8748577304413048,0.9377148732984476
4,7,5,swap,random,light,0.35,0.5714285714285714,zne,0.936386663793416,1.036386663793416,0.95,0.92,1.036386663793416
5,8,4,cx,random,medium,0.4,0.5,zne,0.6268585333140536,0.7268585333140536,0.7168585333140536,0.6568585333140536,0.7268585333140536
3,4,6,swap,random,light,0.2222222222222222,0.5,zne,0.9873231254599423,1.0873231254599423,0.95,0.92,1.0873231254599423
3,4,3,cz,random,medium,0.4444444444444444,0.25,none,0.9263480188796916,1.0263480188796916,0.95,0.92,0.9263480188796916
9,9,2,swap,random,light,0.5,0.4444444444444444,zne,0.4780977756442131,0.578097775644213,0.5480977756442131,0.5347644423108797,0.578097775644213
3,3,2,cx,random,heavy,0.5,0.6666666666666666,none,0.7507280636776348,0.8507280636776348,0.8207280636776348,0.7807280636776348,0.7507280636776348
6,10,5,cz,random,heavy,0.3333333333333333,0.3,zne,0.6150379855747519,0.7150379855747518,0.7150379855747518,0.6450379855747519,0.7150379855747518
6,11,4,cx,random,medium,0.4583333333333333,0.36363636363636365,zne,0.6827169782888787,0.7827169782888787,0.7727169782888786,0.7345351601070604,0.7827169782888787
3,3,2,cx,random,light,0.5,0.6666666666666666,none,0.9296031344883029,1.029603134488303,0.95,0.92,0.9296031344883029
9,10,3,cx,random,light,0.37037037037037035,0.7,zne,0.5504717415241949,0.6504717415241948,0.6304717415241948,0.6164717415241949,0.6504717415241948
5,7,5,cz,random,medium,0.28,0.42857142857142855,zne,0.7299632098019451,0.829963209801945,0.829963209801945,0.8113917812305165,0.829963209801945
4,5,4,cx,random,medium,0.3125,0.4,zne,0.847635444444387,0.947635444444387,0.937635444444387,0.877635444444387,0.947635444444387
5,9,8,cx,random,heavy,0.225,0.6666666666666666,mem,0.8020421343804378,0.9020421343804378,0.9320421343804378,0.8320421343804378,0.9320421343804378
3,6,7,cx,random,heavy,0.2857142857142857,0.3333333333333333,mem,0.819907277718692,0.919907277718692,0.939907277718692,0.869907277718692,0.939907277718692
6,8,4,swap,random,medium,0.3333333333333333,0.625,zne,0.6177448743541892,0.7177448743541892,0.7077448743541892,0.6627448743541893,0.7177448743541892
4,7,4,cx,random,light,0.4375,0.42857142857142855,zne,0.9338744825284642,1.0338744825284643,0.95,0.92,1.0338744825284643
5,5,2,cz,random,light,0.5,0.4,none,0.9231774657675073,1.0231774657675072,0.95,0.92,0.9231774657675073
2,3,7,cz,random,light,0.21428571428571427,0.3333333333333333,mem,0.8506454237975085,0.9506454237975085,0.95,0.92,0.95
7,7,2,cx,random,heavy,0.5,0.42857142857142855,zne,0.3,0.4,0.37,0.32999999999999996,0.4
7,8,7,swap,random,heavy,0.16326530612244897,0.75,mem,0.7711244494954759,0.8711244494954758,0.8911244494954759,0.8311244494954759,0.8911244494954759
4,4,2,cx,random,light,0.5,0.25,none,0.924043890333336,1.024043890333336,0.95,0.92,0.924043890333336
4,5,6,cx,random,medium,0.20833333333333334,0.4,mem,0.8018063488718239,0.9018063488718239,0.9118063488718239,0.8558063488718239,0.9118063488718239
3,6,8,swap,random,light,0.25,0.3333333333333333,mem,0.7083793538545808,0.8083793538545808,0.8383793538545808,0.7783793538545808,0.8383793538545808
4,10,7,swap,random,light,0.35714285714285715,0.4,mem,0.7773753192016772,0.8773753192016772,0.8973753192016772,0.8073753192016773,0.8973753192016772
2,2,6,cx,random,light,0.16666666666666666,0.0,zne,1.000000000024045,1.100000000024045,0.95,0.92,1.100000000024045
